platformQid,name,isMajor,platformType,generation,releaseYear,expectedCount,wdqsCount,wikiRosterCount,overlapCount,wdqsOnly,wikiOnly,gamesRosterFetchedCount,gamesRosterDone,gamesCursorQid,gamesCursorUpdatedAt,gamesIngestedAt,lastEnrichedAt
Q13361286,Xbox One,true,HOME_CONSOLE,,2013,4026,3684,0,0,3684,0,0,false,Q99992123,2026-02-25T20:40:57.303Z,2026-02-25T20:40:57.303Z,2026-02-26T01:45:49.392Z
Q10683,PlayStation 3,true,HOME_CONSOLE,,2006,2174,3183,0,0,3183,0,0,false,Q99913533,2026-02-25T20:40:53.957Z,2026-02-25T20:40:53.957Z,2026-02-26T01:45:49.391Z
Q48263,Xbox 360,true,HOME_CONSOLE,,2005,1979,1801,4,4,1797,0,0,false,Q99913542,2026-02-25T20:40:52.851Z,2026-02-25T20:40:52.851Z,2026-02-26T01:45:49.390Z
Q170325,PlayStation Portable,true,HANDHELD,,2004,1284,1502,0,0,1502,0,0,false,,,,2026-02-26T01:47:38.236Z
Q8079,Wii,true,HOME_CONSOLE,,2006,1472,1441,0,0,1441,0,0,false,Q99743337,2026-02-25T20:40:51.740Z,2026-02-25T20:40:51.740Z,2026-02-26T01:45:49.391Z
Q10680,PlayStation 2,true,HOME_CONSOLE,,2000,3200,1437,1502,123,1314,1379,0,false,,,,2026-02-26T01:46:32.215Z
Q172742,Nintendo Entertainment System,true,HOME_CONSOLE,,1983,1216,1367,1367,1367,0,0,0,false,,,,2026-02-26T01:47:38.237Z
Q132020,Xbox,true,HOME_CONSOLE,,2001,1052,1021,1248,849,172,399,0,false,Q99913976,2026-02-25T20:40:58.733Z,2026-02-25T20:40:58.733Z,2026-02-26T01:45:49.392Z
Q94,Android,true,MOBILE,,,4558,0,0,0,0,0,0,false,,,,2026-02-26T01:48:00.544Z
Q355,Facebook,true,MOBILE,,,34,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.117Z
Q48493,iOS,true,MOBILE,,2007,5893,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.123Z
Q388,Linux,true,COMPUTER,,,18438,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.118Z
Q75687,Mac,true,COMPUTER,,1984,136,0,0,0,0,0,0,false,,,,2026-02-26T01:48:00.541Z
Q14116,macOS,true,COMPUTER,,2001,25045,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.233Z
Q1406,Microsoft Windows,true,COMPUTER,,1985,138163,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.232Z
Q17517,mobile phone,true,HANDHELD,,,121,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.237Z
Q47604,MS-DOS,true,COMPUTER,,1981,290,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.119Z
